Season,Teams,Hitter,AB,R,H,RBI,BB,K,SLG,AVG,OBP
2016,MIN,E. Escobar,352,32,83,37,21,72,0.383,0.236,0.299
2016,MIN,K. Suzuki,345,34,89,49,18,48,0.373,0.258,0.325
2016,MIN,B. Buxton,298,44,67,38,23,118,0.355,0.225,0.325
2016,MIN,D. Santana,233,29,56,14,12,55,0.345,0.240,0.324
2016,MIN,E. Nunez,371,49,110,47,15,58,0.505,0.296,0.379
2016,MIN,J. Murphy,82,4,12,3,5,19,0.202,0.146,0.186
2016,MIN,O. Arcia,103,8,22,12,10,46,0.395,0.214,0.270
2016,MIN,M. Kepler,396,52,93,63,42,93,0.442,0.235,0.324
2016,MIN,R. Pressly,0,0,0,0,0,0,0,0,0
2016,MIN,C. Fien,0,0,0,0,0,0,0,0,0
2016,MIN,J. Polanco,245,24,69,27,17,46,0.450,0.282,0.346
2016,MIN,R. O'Rourke,1,0,0,0,0,0,0.000,0.000,0.000
2016,MIN,T. Milone,2,0,2,0,0,0,1.000,1.000,1.000
2016,MIN,M. Tonkin,2,0,0,0,0,1,0.000,0.000,0.000
2016,MIN,T. May,0,0,0,0,0,0,0,0,0
2016,MIN,R. Nolasco,2,0,0,0,1,1,0.000,0.000,0.000
2016,MIN,F. Abad,1,0,0,0,0,1,0.000,0.000,0.000
2016,MIN,K. Gibson,7,1,0,0,1,5,0.000,0.000,0.125
2016,MIN,P. Hughes,2,0,0,0,0,2,0.000,0.000,0.000
2016,MIN,K. Jepsen,0,0,0,0,0,0,0,0,0
2016,MIN,T. Duffey,1,0,0,0,0,1,0.000,0.000,0.000
2016,MIN,D. Mastroianni,9,1,0,0,2,4,0.000,0.000,0.100
2016,MIN,J. Centeno,176,16,46,25,12,38,0.396,0.261,0.323
